"Borough","Market Name","Street Address","Community District","Latitude","Longitude","Days of Operation","Hours of Operations","Season Begin","Season End","Accepts EBT","Distributes Health Bucks?","Open Year-Round"," Cooking Demonstrations","Location Point","Zip Code"
"Brooklyn","Carroll Gardens Greenmarket","Smith & Carroll Sts.","306","40.680761","-73.99552","Sunday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.680761, -73.99552)","11231"
"Manhattan","Fort Washington Greenmarket","168th St. & Ft. Washington Ave.","112","40.842296","-73.942027","Tuesday","8AM - 4PM","2023 Jun 06 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.842296, -73.942027)","10032"
"Bronx","Bissel Gardens Farmers Market","Baychester Ave. & E. 241st St.","212","40.90152","-73.846937","Saturday","10AM - 4PM","2023 Jul 08 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.90152, -73.846937)","10466"
"Brooklyn","NYP Youth Market - Brooklyn","249 7th Ave.","306","40.669218","-73.979629","Tuesday","9AM - 3PM","2023 Jul 11 12:00:00 AM","2023 Aug 22 12:00:00 AM","No","No","No","No","(40.669218, -73.979629)","11215"
"Queens","QueensVillage Farmers Market","QueensVillage Long Island Railroad Commuter Parking Lot - Amboy Ln. & Springfield Blvd.","413","40.717978","-73.735337","Sunday","11AM - 4PM",,,"TBD","No","No","No","(40.717978, -73.735337)","11428"
"Manhattan","Uptown Good Food Farm Stand","330 St. Nicholas Ave. (St. Nicholas Miracle Garden)","110","40.81172","-73.951795","Thursday","4PM - 7PM","2023 Jun 22 12:00:00 AM","2023 Oct 26 12:00:00 AM","Yes","Yes","No","No","(40.81172, -73.951795)","10027"
"Bronx","Bronx Park East Farmers Market","2222 Bronx Park E. (near Bradley Playground)","211","40.851713","-73.867786","Sunday","9AM - 4PM","2023 Jun 18 12:00:00 AM","2023 Nov 12 12:00:00 AM","Yes","Yes","No","No","(40.851713, -73.867786)","10462"
"Queens","Far Rock Farm Stand","45-55 Beach Channel Dr.","414","40.595572","-73.777001","Saturday","10AM - 2PM","2023 Jul 08 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.595572, -73.777001)","11691"
"Bronx","Lincoln Hospital Greenmarket","E. 149th St. bet Park & Morris Aves","201","40.818013","-73.925185","Tuesdays & Fridays","8AM - 3PM","2023 Jun 23 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.818013, -73.925185)","10451"
"Manhattan","Tompkins Square Greenmarket","7th St. & Ave. A","103","40.726054","-73.983534","Sunday","9AM - 4PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.726054, -73.983534)","10009"
"Brooklyn","Fresh Vibes Market at Medgar Evers College","1630 Bedford Ave.","309","40.666799","-73.956679","Monday (1st and 3rd)","10AM - 2PM",,,"Yes","Yes","No","No","(40.666799, -73.956679)","11225"
"Bronx","Harvest Home St. Mary's Park Farm Stand","E. 149th St. & Eagle Ave. (St. Mary's Park)","201","40.8139","-73.911812","Thursday","8AM - 3PM","2023 Jul 06 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.8139, -73.911812)","10455"
"Staten Island","Children's Aid Society Go!Healthy Food Box + Famstand - Goodhue Center","304 Prospect Ave.","501","40.638936","-74.097966","Tuesday","1PM - 3:30PM","2023 Jul 11 12:00:00 AM","2023 Nov 14 12:00:00 AM","Yes","Yes","No","No","(40.638936, -74.097966)","10301"
"Bronx","New Roots Farm Stand","670 Grand Concourse","204","40.821447","-73.925492","Saturday","10AM - 3PM","2023 Jul 08 12:00:00 AM","2023 Oct 28 12:00:00 AM","Yes","Yes","No","No","(40.821447, -73.925492)","10451"
"Manhattan","PS 57 Farmstand","115th St. & 3rd Ave. (SW corner)","111","40.797577","-73.94128","Wednesday","9:30AM - 3PM","2023 Jun 21 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.797577, -73.94128)","10029"
"Manhattan","Inwood Park Greenmarket","Isham St bet Seaman Ave. & Cooper St.","112","40.869001","-73.920896","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.869001, -73.920896)","10034"
"Staten Island","Staten Island Mall Greenmarket","Marsh Ave. & Ring Road","502","40.583804","-74.161245","Saturday","8AM - 2PM","2023 Jun 10 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.583804, -74.161245)","10314"
"Manhattan","Gouverneur Health Farmstand","Madison St. bet Clinton & Jefferson Sts.","103","40.712905","-73.986928","Thursday","9AM - 2PM","2023 Jul 06 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","Yes","(40.712905, -73.986928)","10002"
"Queens","Rockaway Market @ Beach 60th","Rockaway Freeway & Beach 60th St.","414","40.592902","-73.789051","Saturday","10AM - 1PM","2023 Jun 10 12:00:00 AM","2023 Oct 28 12:00:00 AM","No","No","No","No","(40.592902, -73.789051)","11692"
"Brooklyn","Kensington Farmstand","McDonald Ave. & Albermarle Road","312","40.64511","-73.979882","Saturday","8:30AM - 3PM",,,"Yes","Yes","No","No","(40.64511, -73.979882)","11218"
"Queens","Rockaway Youth Task Force Youth Market","310 Beach 58th St.","414","40.594492","-73.788077","Saturday","9AM - 3PM",,,"Yes","No","No","No","(40.594492, -73.788077)","11692"
"Bronx","Poe Park Greenmarket","E. 192nd St. bet Grand Concourse & Valentine","207","40.86431","-73.895379","Tuesday","8AM - 3PM","2023 Jun 27 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.86431, -73.895379)","10458"
"Manhattan","175th Street Greenmarket","W. 175th St. bet. Wadsworth Ave. & Broadway","112","40.845948","-73.937811","Thursday","8AM - 4PM","2023 Jun 29 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.845948, -73.937811)","10033"
"Manhattan","Harvest Home Lenox Avenue Farm Stand","Lenox Ave. bet. W. 117 & 118 Sts.","110","40.802699","-73.949186","Saturday","8AM - 3PM","2023 Jun 24 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.802699, -73.949186)","10026"
"Manhattan","82nd Street Greenmarket","E. 82nd St. bet 1st & York Aves","108","40.774292","-73.951262","Saturday","9AM - 2:30PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.774292, -73.951262)","10028"
"Manhattan","Fulton Stall Market (indoor farmers market)","91 South St.","101","40.705865","-74.003769","Monday-Saturday","11:30AM - 5PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.705865, -74.003769)","10038"
"Bronx","Project EATS & St. Barnabas Hospital Farm Stand","4507 3rd Ave.","206","40.853237","-73.891742","Wednesday","11AM - 4PM","2023 May 24 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.853237, -73.891742)","10457"
"Brooklyn","Isabahlia Farmers Market","514 Rockaway Ave. (ISO Student Farm)","316","40.667554","-73.910207","Friday & Saturday","8AM - 3PM","2023 Jul 01 12:00:00 AM",,"Yes","Yes","No","No","(40.667554, -73.910207)","11212"
"Bronx","Morrisania Farmstand","169th St. & Boston Rd. (at McKinley Square)","203","40.83118","-73.900545","Wednesday","10AM - 2PM","2023 Jul 05 12:00:00 AM","2023 Nov 29 12:00:00 AM","Yes","Yes","No","No","(40.83118, -73.900545)","10456"
"Bronx","Children's Aid Go!Healthy Food Box + Farmstand - CS211","1919 Prospect Ave.","206","40.843546","-73.889755","Thursday","2PM - 4:30PM","2023 Jul 13 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.843546, -73.889755)","10457"
"Brooklyn","Domino Park Greenmarket","River St. bet S 1st St. and S. 3rd St.","301","40.715385","-73.967441","Sunday","9AM - 3PM","2023 Jun 04 12:00:00 AM","2023 Nov 19 12:00:00 AM","Yes","Yes","No","No","(40.715385, -73.967441)","11249"
"Brooklyn","Weeksville Farm Stand","15 Buffalo Ave.","303","40.678508","-73.924628","Saturday","12PM - 4PM",,,"Yes","Yes","No","No","(40.678508, -73.924628)","11233"
"Manhattan","Harvest Home Harlem Hospital Farmers Market","W. 137th St. & Lenox Ave.","110","40.815403","-73.93991","Friday","8AM - 3PM","2023 Jun 16 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","No","(40.815403, -73.93991)","10037"
"Bronx","BronxWorks Farm Stand","1130 Grand Concourse","204","40.832759","-73.919296","Thursday","10AM - 2PM",,,"Yes","Yes","No","No","(40.832759, -73.919296)","10456"
"Brooklyn","Seeds in the Middle - Flabush - Ditmas Park Farm Stand","330 Rugby Rd.","314","40.641937","-73.965523","Friday","2:30PM - 4:30PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.641937, -73.965523)","11226"
"Brooklyn","Crown Heights Farmstand","Nostrand Ave. and Crown St. (NW corner)","309","40.666472","-73.950807","Friday","9AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.666472, -73.950807)","11225"
"Bronx","La Familia Verde Farmers Market / Highbridge Farmers Market","1430 Plimpton Ave.","204","40.843627","-73.922243","Wednesday","10AM - 3PM","2023 Jul 12 12:00:00 AM","2023 Nov 15 12:00:00 AM","Yes","Yes","No","No","(40.843627, -73.922243)","10452"
"Manhattan","Harlem Meer Farmstand","Central Park N & Malcom X Blvd","110","40.798038","-73.95191","Saturdays","10AM - 2PM","2023 Jun 24 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","No","(40.798038, -73.95191)","10026"
"Brooklyn","McCarren Park Greenmarket","N. 12th bet Union & Driggs","301","40.719219","-73.952479","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.719219, -73.952479)","11211"
"Manhattan","Union Square Greenmarket","Union Square W. & 17th St.","105","40.737133","-73.990329","Monday, Wednesday, Friday & Saturday","8AM - 6PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.737133, -73.990329)","10003"
"Manhattan","Abingdon Square Greenmarket","Hudson St. & W 12th St.","102","40.737553","-74.005687","Saturday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.737553, -74.005687)","10014"
"Brooklyn","Fresh Vibes Market at Blue Cross Blue Shield @ Church Avenue","2009 Church Ave.","314","40.650241","-73.960632","Monday (4th of each month)","10AM - 4PM",,,"Yes","Yes","No","No","(40.650241, -73.960632)","11226"
"Brooklyn","Seeds in the Middle Crown Heights Farm Stand","750 Classon Ave. (PS 216)","308","40.6744","-73.960254","Friday","2PM - 5PM",,,"Yes","Yes","No","No","(40.6744, -73.960254)","11238"
"Manhattan","NYP Youth Market - Broadway","4781-4783 Broadway","112","40.865881","-73.926314","Wednesday","9AM - 3PM","2023 Jul 05 12:00:00 AM","2023 Aug 23 12:00:00 AM","No","No","No","No","(40.865881, -73.926314)","10034"
"Queens","Queens Farm @ Jamaica Hospital","134-20 Jamaica Ave.","409","40.70236","-73.818531","Friday","10AM - 3PM","2023 Jun 10 12:00:00 AM","2023 Nov 03 12:00:00 AM","Yes","Yes","No","No","(40.70236, -73.818531)","11418"
"Bronx","Harvest Home North Central Bronx Farmers Market","Mosholu Parkway & Jerome Ave.","207","40.8797","-73.884661","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.8797, -73.884661)","10467"
"Manhattan","Market in the Heights at CCNY","138th St. & Convent Ave.","109","40.819407","-73.950171","Saturday (once a month)","9AM - 4PM",,"2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.819407, -73.950171)","10031"
"Brooklyn","Bensonhurst Greenmarket","18th Ave. bet 81st & 82nd Sts.","311","40.609588","-73.999677","Sunday","9AM - 3PM","2023 May 28 12:00:00 AM","2023 Nov 19 12:00:00 AM","Yes","Yes","No","No","(40.609588, -73.999677)","11214"
"Brooklyn","RiseBoro Farmers Market at Maria Hernandez Park","Knickerbocker Ave. bet Sudyam St. & Starr St.","304","40.702811","-73.92539","Saturday","8AM - 3PM","2023 May 20 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","Yes","(40.702811, -73.92539)","11237"
"Bronx","Eastchester Farmstand","1250 E. 229th St.","212","40.88372","-73.842046","Wednesday","9AM - 1PM","2023 Jun 29 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.88372, -73.842046)","10466"
"Brooklyn","Saratoga Farm Stand","1965-1971 Fulton St.","316","40.678562","-0.000079704","Saturday","10AM - 2PM","2023 Jul 08 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.678562, -0.000079704)","11233"
"Brooklyn","Harvest Home Kings County Hospital Farmers Market","Clarkson Ave. bet E. 37th & 38th Sts.","317","40.6558","-73.943355","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.6558, -73.943355)","11203"
"Brooklyn","RiseBoro Farmers Market at Hopefield","Knickerbocker Ave. bet Menahan St. & Grove St.","304","40.69768","-73.916366","Wednesday","9AM - 3PM","2023 Jun 07 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.69768, -73.916366)","11237"
"Queens","Myrtle-Wyckoff Greenmarket","Wyckoff bet Gates & Myrtle Aves","405","40.699798","-73.911523","Thursday","8AM - 3PM","2023 Jul 06 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.699798, -73.911523)","11237"
"Brooklyn","4th Ave Sunset Park Greenmarket","4th Ave. 60th St.","307","40.647975","-74.003744","Saturday","8AM - 3PM","2023 Jul 01 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.647975, -74.003744)","11232"
"Brooklyn","Cortelyou Greenmarket","Cortelyou bet Rugby & Argyle","314","40.64051","-73.966021","Sunday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.64051, -73.966021)","11226"
"Queens","Cunningham Park's Down to Earth Farmers Market","Union Turnpike & 196th Place","408","40.731082","-73.773997","Sunday","9AM - 2PM","2023 Apr 23 12:00:00 AM","2023 Dec 17 12:00:00 AM","Yes","Yes","No","No","(40.731082, -73.773997)","11366"
"Manhattan","Stuyvesant Town Greenmarket","South end of Stuyvesant Town Oval","106","40.731498","-73.97818","Sunday","9:30AM - 4PM","2023 May 14 12:00:00 AM","2023 Dec 17 12:00:00 AM","Yes","Yes","No","No","(40.731498, -73.97818)","10009"
"Queens","Elmhurst Hospital Greenmarket","41st Ave. bet 80th & 81st Sts.","404","40.745794","-73.885489","Tuesday","8AM - 3PM","2023 Jun 13 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.745794, -73.885489)","11373"
"Brooklyn","Woodhull Hospital Farmstand","Broadway & Graham Ave.","301","40.701022","-73.942202","Wednesday","9AM - 3PM","2023 Jul 05 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.701022, -73.942202)","11206"
"Manhattan","Greenmarket at the Oculus","Church at Fulton St.","101","40.711466","-74.010662","Tuesday","8AM - 5PM","2023 Jun 06 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.711466, -74.010662)","10007"
"Manhattan","Bowling Green Greenmarket","Broadway at Battery Place","101","40.704549","-74.01429","Tuesday & Thursday","8AM - 2PM","2023 Apr 04 12:00:00 AM","2023 Dec 28 12:00:00 AM","Yes","Yes","No","No","(40.704549, -74.01429)","10004"
"Queens","Sunnyside Greenmarket","Skillman Ave. & 43rd St.","402","40.74701","-73.92173","Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.74701, -73.92173)","11104"
"Brooklyn","Brooklyn Borough Hall Greenmarket","Montague & Court Sts.","302","40.693722","-73.990455","Tusday & Saturday","8AM - 3PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.693722, -73.990455)","11201"
"Brooklyn","Edible Schoolyard NYC's Farm Stand at PS 216","350 Ave. X","315","40.590564","-73.969964","Friday","1:30PM - 3:30PM",,,"Yes","Yes","No","No","(40.590564, -73.969964)","11223"
"Brooklyn","Fresh Vibes Market at the Bureau of Brooklyn Neighborhood Health","485 Throop Ave.","303","40.685547","-73.941282","Friday (2nd and 3rd)","11AM - 3PM",,,"Yes","Yes","No","No","(40.685547, -73.941282)","11221"
"Brooklyn","Project EATS Brownsville Farm Stand","300 Chester St.","316","40.664477","-73.910384","Thursday","11AM - 4PM","2023 Jun 14 12:00:00 AM",,"Yes","Yes","No","No","(40.664477, -73.910384)","11212"
"Manhattan","Children's Aid  Go!Healthy Food Box + Farmstand - Milbank Center","14-32 W. 118th St.","110","40.802317","-73.946351","Wednesday","2PM - 4:30PM","2023 Jul 12 12:00:00 AM","2023 Nov 15 12:00:00 AM","Yes","Yes","No","No","(40.802317, -73.946351)","10026"
"Bronx","Harvest Home Hunts Point Farm Stand","Southern Blvd bet Barretto & Tiffany Sts. (Luis Suarez Memorial Park)","202","40.81894","-73.893492","Wednesday","8AM - 3PM","2023 Jun 14 12:00:00 AM","2023 Nov 22 12:00:00 AM","Yes","Yes","No","No","(40.81894, -73.893492)","10459"
"Brooklyn","Bay Ridge Greenmarket","3rd Ave. & 95th St.","310","40.61781","-74.03338","Saturday","8AM - 3PM","2023 May 06 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.61781, -74.03338)","11209"
"Brooklyn","Fresh Vibes Market at Blue Cross Blue Shield @ Knickerbocker Avenue","364 Knickerbocker Ave.","304","40.70048","-73.921519","Monday (4th of each month)","10AM - 4PM",,,"Yes","Yes","No","No","(40.70048, -73.921519)","11237"
"Queens","Sovereign Markets","Laurelton Long Island Railroad Station Commuter Parking Lot - Prospect Ct. bet 224th & 225th Sts.","413","40.668389","-73.751972","Saturday","11AM-3PM",,,"Yes","No","No","No","(40.668389, -73.751972)","11413"
"Queens","Forest Hills Greenmarket","Queens Blvd. & 70th Ave.","406","40.722054","-73.847155","Sunday","8AM - 2PM","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","Yes","No","(40.722054, -73.847155)","11375"
"Brooklyn","Isabahlia Farmers Market","410 Livonia Ave. (In Front of Powell St. Garden)","316","40.663532","-73.902236","Saturday","8AM - 3PM","2023 Jul 01 12:00:00 AM",,"Yes","Yes","No","No","(40.663532, -73.902236)","11212"
"Bronx","Van Cortlandt Park Alliance Amalgamated Housing Youth Farmstand","Orloff Ave. & Gale Place","208","40.884532","-73.892172","Wednesday","2PM - 7PM","2023 Jul 12 12:00:00 AM","2023 Oct 25 12:00:00 AM","Yes","Yes","No","No","(40.884532, -73.892172)","10463"
"Bronx","Parkchester Greenmarket","Westchester Ave. & White Plains Road","209","40.833279","-73.862833","Friday","8AM - 3PM","2023 Jun 30 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","Yes","(40.833279, -73.862833)","10472"
"Brooklyn","Hattie Carthan Herbal Apothecary/ Market","48 Van Buren St.","303","40.690036","-73.943557","Sunday","1PM - 6PM",,,"Yes","No","No","No","(40.690036, -73.943557)","11221"
"Bronx","Harvest Home Mt. Eden Malls Farmers Market","Mt. Eden & Morris Aves (Claremont Park)","204","40.8429","-73.909558","Tuesday & Thursday","8AM - 3PM","2023 Jun 06 12:00:00 AM","2023 Nov 21 12:00:00 AM","Yes","Yes","No","No","(40.8429, -73.909558)","10457"
"Manhattan","94th Street Greenmarket","E. 94th St. & 1st Ave.","108","40.781968","-73.945267","Sunday","9AM - 4PM","2023 Jun 18 12:00:00 AM","2023 Nov 19 12:00:00 AM","Yes","Yes","No","No","(40.781968, -73.945267)","10128"
"Brooklyn","East New York Farmers Market","Schenck Ave. bet New Lots & Livonia Aves","305","40.665296","-73.886557","Saturday","9AM - 3PM","2023 Jun 24 12:00:00 AM","2023 Nov 11 12:00:00 AM","Yes","Yes","No","Yes","(40.665296, -73.886557)","11207"
"Brooklyn","McGolrick Park's Down to Earth Farmers Market","Russell St. & Nassau Ave. (center of park)","301","40.725617","-73.944497","Sunday","9AM - 2PM","2023 Mar 05 12:00:00 AM","2023 Dec 17 12:00:00 AM","Yes","Yes","No","No","(40.725617, -73.944497)","11222"
"Bronx","Mott Haven Farm Stand","541 E. 139th St. (Padre Plaza Garden)","201","40.807883","-73.917885","Wednesday","9AM - 1PM","2023 Jul 05 12:00:00 AM","2023 Nov 15 12:00:00 AM","Yes","Yes","No","No","(40.807883, -73.917885)","10454"
"Brooklyn","Seeds in the Middle Brownsville Farm Stand","104 Sutter Ave. (IS 392)","316","40.665965","-73.918107","Tursday","2PM - 4PM",,,"Yes","Yes","No","No","(40.665965, -73.918107)","11212"
"Bronx","La Familia Verde Farmers Market","E. Tremont Ave. bet Arthur Ave. & LaFontaine Ave.","206","40.846448","-73.893563","Tuesday","8AM - 2PM","2023 Jul 11 12:00:00 AM","2023 Nov 14 12:00:00 AM","Yes","Yes","No","Yes","(40.846448, -73.893563)","10457"
"Brooklyn","Harvest Home Brower Park Farm Stand","Brooklyn Ave. & Prospect Place","308","40.674","-73.944544","Thursday","8AM - 3PM","2023 Jun 15 12:00:00 AM","2023 Nov 16 12:00:00 AM","Yes","Yes","No","No","(40.674, -73.944544)","11213"
"Manhattan","Two Bridges Youth Market","50 Madison St.","103","40.711958","-73.997825","Sunday","10:30AM - 3:30PM","2023 Jul 02 12:00:00 AM","2023 Dec 19 12:00:00 AM","Yes","yes","No","No","(40.711958, -73.997825)","10038"
"Manhattan","NYP Youth Market - Audobon","21 Audobon Ave.","112","40.839441","-73.939118","Thursday","9AM - 3PM","2023 Jul 06 12:00:00 AM","2023 Aug 24 12:00:00 AM","No","No","No","No","(40.839441, -73.939118)","10032"
"Bronx","Riverdale Neighborhood House","5521 Mosholu Ave.","208","40.903039","-73.90375","Thursday","1PM - 6PM","2023 May 24 12:00:00 AM","2023 Nov 15 12:00:00 AM","Yes","Yes","No","No","(40.903039, -73.90375)","10471"
"Brooklyn","Seeds in the Middle - Brownsville I.S. 392 Farm Stand","104 Sutter Ave.","316","40.665965","-73.918107","Tuesdays","2:30PM - 4:30PM (fall)","2023 Jan 01 12:00:00 AM","2023 Dec 31 12:00:00 AM","Yes","Yes","No","No","(40.665965, -73.918107)","11212"
"Manhattan","57th Street Greenmarket","W. 57th St. & 10th Ave.","104","40.769117","-73.988559","Saturday","8AM - 3PM","2023 Jun 03 12:00:00 AM","2023 Nov 18 12:00:00 AM","Yes","Yes","No","No","(40.769117, -73.988559)","10019"
"Brooklyn","Hattie Carthan Community Market","363-365 Clifton Place","303","40.689628","-73.946882","Saturday","9AM-3PM",,,"Yes","No","No","No","(40.689628, -73.946882)","11216"
"Brooklyn","Cypress Hills Farmstand","Fulton St. bet Richmond and Logan Sts. (in front of Cypress Hills Senior Center)","305","40.682391","-73.913554","Friday","10AM - 3PM","2023 Jul 07 12:00:00 AM","2023 Nov 17 12:00:00 AM","Yes","Yes","No","Yes","(40.682391, -73.913554)","11208"
