Borough,Market Name,Street Address,Latitude,Longitude
Brooklyn,Weeksville Farm Stand,15 Buffalo Ave.,40.678508,-73.924628
Manhattan,Harvest Home Harlem Hospital Farmers Market,W. 137th St. & Lenox Ave.,40.815403,-73.93991
Bronx,BronxWorks Farm Stand,1130 Grand Concourse,40.832759,-73.919296
Brooklyn,Seeds in the Middle - Flabush - Ditmas Park Farm Stand,330 Rugby Rd.,40.641937,-73.965523
Brooklyn,Crown Heights Farmstand,Nostrand Ave. and Crown St.,40.666472,-73.950807
Bronx,La Familia Verde Farmers Market / Highbridge Farmers Market,1430 Plimpton Ave.,40.843627,-73.922243
Manhattan,Harlem Meer Farmstand,Central Park N & Malcom X Blvd,40.798038,-73.95191
Brooklyn,McCarren Park Greenmarket,N. 12th bet Union & Driggs,40.719219,-73.952479
Manhattan,Union Square Greenmarket,Union Square W. & 17th St.,40.737133,-73.990329
Manhattan,Abingdon Square Greenmarket,Hudson St. & W 12th St.,40.737553,-74.005687
Brooklyn,Fresh Vibes Market at Blue Cross Blue Shield @ Church Avenue,2009 Church Ave.,40.650241,-73.960632
Brooklyn,Seeds in the Middle Crown Heights Farm Stand,750 Classon Ave.,40.6744,-73.960254
Manhattan,NYP Youth Market - Broadway,4781-4783 Broadway,40.865881,-73.926314
